onset	duration	condition
0.00604545454545455	8.22640909090909	STAT
12.3342727272727	8.22640909090909	MOTION
23.7568636363636	8.22640909090909	STAT
35.6285	8.18831818181818	MOTION
47.4620454545455	8.22636363636364	STAT
59.3336363636364	8.20354545454545	MOTION
71.639	8.22636363636364	STAT
83.9671818181818	8.20354545454545	MOTION
95.8159545454545	8.22636363636364	STAT
107.687545454545	8.17313636363636	MOTION
119.056863636364	8.22640909090909	STAT
130.928454545455	8.18836363636364	MOTION
142.762	8.22636363636364	STAT
155.090181818182	8.19595454545455	MOTION
167.387909090909	8.22640909090909	STAT
178.8105	8.14272727272727	MOTION
190.149409090909	8.22640909090909	STAT
201.572	8.15790909090909	MOTION
213.375090909091	8.22640909090909	STAT
224.797727272727	8.15790909090909	MOTION
